Smiles String,agg?
Cc1ccc(C)c(S(=O)(=O)N2CCCOC2CNC(=O)C(=O)NCc2ccccc2)c1,0
Cc1ccc2cc(CN(CC3CCCO3)S(=O)(=O)c3c(C)ccc4nsnc34)c(=O)[nH]c2c1,0
Cc1cc(NC(=O)NC2(C(F)(F)F)Oc3ccc(Cl)cc3O2)no1,0
Cc1ccc(C)n1NC(=O)c1ccccc1[N+](=O)[O-],0
COc1cccc(CN2CCNC(=O)C2CC(=O)NCCOc2cccnc2)c1,0
O=C(NCc1n[nH]c(=S)n1-c1ccc(Br)cc1)c1ccc(S(=O)(=O)N2CCOCC2)cc1,0
CC(C)c1c(C(=O)N/N=C/c2cccnc2)nnn1-c1nonc1N,0
O=C(Oc1coc(CSc2nnc(NC(=O)C3CC3)s2)cc1=O)c1c(F)cccc1F,0
Cc1nc2nc(SCC(=O)NCCN3CCOCC3)nn2c(C)c1Cc1ccccc1,0
Cc1nc2c(-c3ccc(F)cc3)c(C)nn2c(C)c1CCC(=O)Nc1ccccc1,0
Cc1cccc(N2CCN(C(=O)c3cccc(N4C(=O)C5C6C=CC(C6)C5C4=O)c3)CC2)c1C,0
O=C(COC(=O)c1cc(-c2ccccn2)nc2ccccc12)Nc1ncc(C(F)(F)F)cc1Cl,0
Cc1cccc(NC(=O)Nc2c(C)[nH]c(=O)[nH]c2=O)c1C,0
Cc1onc(-c2c(Cl)cccc2Cl)c1C(N)=S,0
Cc1ccc(CN2CCC(n3nccc3NC(=O)C3CCOC3)CC2)cc1C,0
CCN(CC)c1ccc(NC(=O)CN2C(=O)NC3(CCc4ccccc43)C2=O)cc1,0
CCCCc1cc(C(=O)Cc2ccccn2)c(O)cc1O,0
COc1ccc(O)c(C(=O)CC(=O)c2ccc(F)cc2)c1,0
COc1cc(OC)cc(C(=O)NC(C(=O)NCc2ccccc2)C(C)C)c1,0
CC(NC(=O)Nc1ccccc1)c1ccccc1,0
CCN(CC)CCNC(=S)Nc1ccc2nc(N3CCOCC3)cc(C)c2c1,0
O=C(Cn1ncc2c3ccccc3n(Cc3ccccc3)c2c1=O)N1CCN(c2ccccn2)CC1,0
CC1Cc2cc(S(=O)(=O)N3CCCCC3C)ccc2N1C(=O)C1CCC1,0
O=C(NCCCN1CCOCC1)C1(c2ccccc2)CCCC1,0
O=C(Cn1cnc2ccccc2c1=O)Nc1nnc(C2CC2)s1,0
Cc1snc2sc(C(=O)c3ccc(Cl)cc3)c(N)c12,0
COc1cccc(CNc2ccc3c(c2)nc(C)n3C)c1OC,0
NC(=O)NOCc1ccc(F)cc1Cl,0
CCOC(=O)c1ccc(NC(=O)CCc2nnc3ccc(N4CCN(C)CC4)nn23)cc1,0
Cc1ccc(-c2nc(S(=O)(=O)c3ccc(C)cc3)c(SCC(=O)NCC3CCCO3)o2)cc1,0
COc1cccc(-c2cc(C(F)(F)F)n3nc(C(=O)N4CCC5(CC4)OCCO5)cc3n2)c1,0
CCOC(=O)N1CCN(Cc2nc3cc(NC(=O)CC)ccc3n2CC)CC1,0
CCOc1ccccc1NC(=O)CSc1nnc(Cn2c(=O)sc3ccccc32)n1C,0
COc1ccc(CCNC(=O)C2(C)CCC(=O)N2Cc2ccc(C)cc2)cc1OC,0
COc1ccc(NC(=O)CSc2ccc3nnc(-c4cccnc4)n3n2)cc1OC,0
CC1CCc2c(nc3ncnn3c2N2CCN(c3ccccc3)CC2)C1,0
C=C(C)Cn1c(SCC(=O)O)nnc1-c1ccc(OC)cc1,0
Cc1cccc(NC(=O)Nc2ccc3c(c2)CCC3)c1,0
CN(C)CCNC(=O)CCn1nc(-c2ccc(Cl)cc2)ccc1=O,0
COc1ccc(Br)cc1C=CC(=O)Nc1ccc(C)cc1,0
CC1CN=C(NC(=O)c2cccc([N+](=O)[O-])c2)S1,0
COc1ccc(-c2[nH]c(-c3ccc(C(=O)O)cc3)nc2-c2ccccc2)cc1,0
O=C(CCCC(=O)OCC(Cl)=C(Cl)Cl)Nc1ccc(F)cc1,0
COc1ccccc1NCC(=O)Nc1cc(S(=O)(=O)N2CCOCC2)ccc1N1CCOCC1,0
Cc1cc(C)c(NC(=O)CN2C(=O)CC(C)S(=O)(=O)c3ccccc32)c(C)c1,0
O=C(CN1C(=O)c2cccc3cccc(c23)C1=O)NCCN1CCOCC1,0
COc1ccccc1N(C)S(=O)(=O)c1ccc(C(=O)NC2CCCCC2)cc1,0
O=C(c1cc(COc2ccc3ncccc3c2)on1)N1CCCC(O)C1,0
Cc1n[nH]c(Nc2ccc(Cl)c(C(F)(F)F)c2)nc1=O,0
Cc1ccc(C(=O)C(OC(=O)CN2C(=O)c3ccccc3C2=O)c2ccccc2)cc1,0
Cc1cc(C)cc(OCC(=O)OCC(=O)NC2CCCC2)c1,0
COc1cccc(CN2CC(C(=O)NC3CCCCCC3)CCC2=O)c1,0
O=C1CC(N2CCN(Cc3ccccc3)CC2)C(=O)N1c1ccc2c(c1)OCCO2,0
Nc1nonc1C(=O)N/N=C/c1ccc(-c2ccc(Cl)c(C(=O)O)c2)o1,0
Cc1ccc(N2C(=O)C3C4C=CC(CNC(=S)Nc5ccc(F)cc5)(O4)C3C2=O)cc1,0
NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1,0
O=C(NCC1CCCO1)C1CCN(C2CCN(C3CCCCCC3)CC2)CC1,0
NC(CCC(=O)NCC(=O)O)C(=O)O,0
O=C(Nc1ccc(N2CCCCCC2)cc1)c1cccc(S(=O)(=O)N2CCOCC2)c1,0
O=C(C=Cc1ccco1)NC(=S)Nc1ccc(Cl)cn1,0
CCOC(=O)CCSc1nc2c(c(C(F)(F)F)c1C#N)CCC2,0
O=[N+]([O-])c1cc(C(F)(F)F)ccc1Sc1ccc2ccccc2n1,0
CC12CCC(OC3OC(CO)C(O)C(O)C3O)CC1CCC1C2CCC2(C)C(C3=CCOC3=O)CCC12O,0
COc1ccc(OC)c(CNC(=O)CCSCc2ccc(F)cc2Cl)c1,0
Cc1ccc(OCC(=O)N(Cc2cccs2)C2CCS(=O)(=O)C2)cc1C,0
CCn1c(C)c(C)c2cc(C(=O)N3CCN(c4ccccc4)CC3)ccc21,0
COCCN1Cc2cccc(C(=O)Nc3ccc(C)cc3)c2C1=O,0
COc1ccc(C(=O)COC(=O)C(C)N2C(=O)C3C4CCC(C4)C3C2=O)cc1,0
CCN(CCO)C(=O)c1ccc2nc(Cc3cccc(Cl)c3)oc2c1,0
CCN(CC)CC(O)Cn1c(-c2ccccc2Cl)nc2ccccc21,0
Cc1cc(C)n(-c2ccc(-n3ccnc3)nn2)n1,0
Cc1nn(CC(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CSC23)cc1Br,0
Nc1ncc(Br)cc1S(=O)(=O)NCCC(=O)Nc1cccc(Cl)c1,0
O=C(CSc1nnc2c(n1)[nH]c1ccc(S(=O)(=O)N3CCOCC3)cc12)Nc1ccc(F)c(F)c1,0
COc1ccc(-c2nc(C#N)c(NCCN(C)C)o2)cc1,0
Cc1cccc(OCc2nnc(SCC(=O)N3c4ccccc4Sc4ccc(Cl)cc43)o2)c1,0
O=C1CN(C(=O)c2ccccc2F)C(c2ccccc2)c2cc(F)ccc2N1,0
COC(=O)c1c(NC(=O)CN2C(=O)NC3(CCCCC3C)C2=O)sc2c1CCC2,0
CCOc1ccccc1-n1c(SCC(=O)NC(C)CC)nnc1-c1ccoc1C,0
CC(=O)C1=C(NCCc2c(C)[nH]c3ccccc23)CC(c2ccccc2)CC1=O,0
O=P(O)(O)C(Cl)(Cl)P(=O)(O)O,0
COC(=O)C(NC(C)=O)(Nc1ccc(Br)cn1)C(F)(F)F,0
Nc1nc(NCCCN2CCOCC2)nc(Nc2ccccc2)c1[N+](=O)[O-],0
O=C1C2=C3OC(c4ccsc4)(Cc4ccccc43)OC2C(=O)c2ccccc21,0
CC(C)=CCCC(C)CN1CCC(N2CCC(C(=O)N3CCCC3)CC2)CC1,0
COc1ccc(CNC(=O)CN(C(=O)CCC(=O)Nc2nccs2)c2ccc3c(c2)OCO3)cc1,0
CS(=O)(=O)N1CCN(c2ccc(Cl)cc2[N+](=O)[O-])CC1,0
COc1ccc(OC)c(-c2csc(NC(=O)c3ccccc3F)n2)c1,0
COc1ccc(C(=O)NC2CCN(C(=S)NCCc3ccccc3)CC2)cc1,0
O=C(Nc1cc(Cl)ccn1)C1(c2ccccc2)CC1(Cl)Cl,0
O=C(NCCc1ccccc1)c1noc2c1CCCCC2,0
CC(=O)Nc1ccc(S(=O)(=O)N2CCN(CCc3ccccc3)CC2)cc1,0
COc1ccc(NC(=O)NNC(=O)c2ccc(-c3ccccc3)cc2)c(OC)c1,0
O=C(CC1C(=O)NCCN1Cc1ccccc1C(F)(F)F)NC1CCC1,0
Cc1cc(C(F)(F)F)c(C#N)c(SCC(=O)Nc2nc3cc(Br)ccc3s2)n1,0
COc1ccc(N)cc1S(=O)(=O)Nc1ccccc1Cl,0
O=C(CSc1nncs1)Nc1ccc(Cl)cn1,0
C=CCSc1nnc(NC(=O)c2ccc(Cl)nc2)s1,0
Cc1ccc(-c2csc(NC(=O)CSc3ncn(-c4ccccc4)n3)n2)cc1,0
Cc1cccc(C(=O)NNC(=O)c2c(-c3ccccc3Cl)noc2C)c1O,0
CCNC(=O)c1ccc(NC(=O)CC2SC(N3CCCC3)=NC2=O)cc1,0
NS(=O)(=O)c1ccc(CCNC(=O)c2ccc3c(c2)OCCO3)cc1,0
Cc1ccc(NC(=O)N2CCCc3ccccc32)cc1,0
O=C(Nc1c2c(nn1-c1ccc([N+](=O)[O-])cc1)CS(=O)(=O)C2)c1ccccc1F,0
CCN1CCN(C(=O)c2ccc(S(=O)(=O)Nc3ccccc3)cc2)CC1,0
CC(OC(=O)CCNC1=NS(=O)(=O)c2ccccc21)C(=O)Nc1ccc(F)cc1Cl,0
CC(NS(=O)(=O)c1ccc(OCC(=O)N2CCOCC2)cc1)c1ccccc1,0
O=C(CNC(=O)c1ccccc1)OCc1nc2ccccc2s1,0
O=C(Nc1ccc(Cl)c(Cl)c1)Nn1cnnc1,0
COc1cccc(N2CCN(C(=O)CCCCCn3c(=S)[nH]c4cc5c(cc4c3=O)OCO5)CC2)c1,0
COc1ccc(C=CC(=O)OCC(=O)NCCC2=CCCCC2)cc1,0
Cc1cc(C)c(C#N)c(SCC(=O)Nc2nonc2N)n1,0
Cc1ccc(SCCNC(=O)c2ccc(C)c(S(=O)(=O)Nc3cccc(C)c3)c2)cc1,0
CC(Oc1ccc2ccc(=O)oc2c1)C(=O)NCCCn1ccnc1,0
Cc1c(S(=O)(=O)NCCc2ccccc2)c(=O)n(C)c(=O)n1C,0
CN(N=Cc1cc(Cl)cc(Cl)c1O)C(=S)NC(C)(C)C,0
CNC(=O)CSc1nc(-c2ccccc2)c(-c2ccccc2)o1,0
O=C(CSc1ccc(F)cc1)Nc1ccc(N2CCOCC2)c(Cl)c1,0
CC(O)C=Cc1ccc2ccccc2n1,0
Cc1nc(SCC(=O)Nc2ccccc2C(F)(F)F)c(C#N)c(C)c1CC(=O)c1ccc(Br)cc1,0
O=C(CN1CCOC1=O)N1CCCC(N2CCN(c3cccc(C(F)(F)F)c3)CC2)C1,0
Cc1cccc(Oc2cc([N+](=O)[O-])cc3c2C(=O)Nc2ccccc2O3)c1,0
O=C(NC1=NN2C(=NC(c3ccccc3)CC2c2ccc(F)cc2)N1)c1ccco1,0
c1ccc(-c2noc(CN3CCN(c4cnccn4)CC3)n2)cc1,0
O=C(Cn1cnc2sc3c(c2c1=O)CCCC3)NCCCC(=O)N1CCC2(CC1)OCCO2,0
COc1cc(C)ccc1OCCOc1ccccc1Cl,0
CC(Oc1ccc2c3c(c(=O)oc2c1)CCCC3)C(=O)NCCN1CCOCC1,0
Cc1onc(NC(=O)c2ccc([N+](=O)[O-])o2)c1Br,0
CC(=O)Nc1ccc(S(=O)(=O)NC2(C(F)(F)F)C(=O)Nc3c2c(=O)n(C)c(=O)n3C)cc1,0
C=CCN(Cc1cn(C)nc1-c1cccc(Cl)c1)C1CCS(=O)(=O)C1,0
Fc1c(F)c(F)c(SCn2cc(Br)cn2)c(F)c1F,0
CCCN1CCC(=O)N(C(COc2ccccc2)Cc2ccccc2)CC1,0
O=C(NCCc1ccccc1)c1ccc(CS(=O)Cc2ccc(Cl)cc2)o1,0
