Smiles String,agg?
COc1cc(/C=N/NC(=O)C(=Cc2ccc3c(c2)OCO3)NC(=O)c2ccccc2)ccc1O,0
Cc1ccc(Cl)cc1NC(=O)C(=O)NCCc1sc(-c2ccc(F)cc2)nc1C,0
CCS(=O)(=O)CCSC(=N)N,0
O=C1CN(C(=O)Cc2ccccc2)C(c2ccc(F)cc2)c2cc(Br)ccc2N1,0
C=C(C)CNC(=S)N1CCNC(=O)C1CC(=O)OC,0
O=C(CCCC(=O)OCC(Cl)=C(Cl)Cl)Nc1ccc(F)cc1,0
CNS(=O)(=O)c1ccc(NC(=O)C2c3ccccc3Oc3ccccc32)cc1,0
COC(=O)C1=C(Cn2cnc3ccccc32)NC(=O)NC1c1cc(C)ccc1C,0
Cc1sc2ncn(CC(=O)NCCCC(=O)N3CCN(c4ccccn4)CC3)c(=O)c2c1C,0
CCN(CC)S(=O)(=O)c1ccc(C(=O)NC2CC(=O)N(c3ccc4c(c3)OCCO4)C2)cc1,0
O=C(CSCc1c(F)cccc1Cl)NCc1ccco1,0
O=C1C(=Cc2cccnc2)SC(=S)N1c1ccccc1,0
Cc1ccc(N2C(=O)C3C4C=CC(CNC(=S)Nc5ccc(F)cc5)(O4)C3C2=O)cc1,0
O=C(Nc1ccccc1)c1ccc(-c2ccc(Br)cc2)o1,0
NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1,0
CCOCCCNC(=O)c1c(N)n(-c2ccc(S(N)(=O)=O)cc2)c2nc3ccccc3nc12,0
O=[N+]([O-])c1cc(C(F)(F)F)ccc1Sc1ccc2ccccc2n1,0
CCN(CC)C(=O)CSc1nnc(-c2cc(OC)cc(OC)c2)o1,0
CSc1ccc(N2CCN(CCCNC(=O)Nc3ccccc3F)CC2)cc1,0
CCOc1ccc(NS(=O)(=O)c2cc(Br)cc3c2N(C(=O)C2CC2)CC3)cc1,0
CCOC(=O)c1ccc2c(c1)N(CC(=O)Nc1ccc(CC)cc1)C(=O)c1ccccc1S2,0
CC(Oc1ccc(Br)cc1)C(=O)Nn1c(=S)[nH]c2ncccc2c1=O,0
COc1ccc2c(c1)c1c(c(=O)n(-c3cc(Cl)ccc3C)c(=O)n1CC(=O)N1CCCC1)n2C,0
CC(C)CC1NC(=S)N(Cc2ccccc2)C1=O,0
Nc1ncc(Br)cc1S(=O)(=O)NCCC(=O)Nc1cccc(Cl)c1,0
Cc1cccc(-c2noc(CN(C(=O)COc3ccc(Br)cc3C)C(C)C)n2)c1,0
CCOc1ccccc1-n1c(SCC(=O)NC(C)CC)nnc1-c1ccoc1C,0
O=C(O)C1C(C(=O)Nc2ccc3c(c2)Cc2ccccc2-3)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,0
CCCCCCn1c(SCC(C)C)nc2c1c(=O)[nH]c(=O)n2C,0
O=P(O)(O)C(Cl)(Cl)P(=O)(O)O,0
COC(=O)C(NC(C)=O)(Nc1ccc(Br)cn1)C(F)(F)F,0
COc1ccc(C(=O)c2oc3ccccc3c2NC(=O)c2ccc(F)cc2)cc1,0
CS(=O)(=O)N1CCN(c2ccc(Cl)cc2[N+](=O)[O-])CC1,0
Cc1ccccc1N/C(=C(\C(Cl)=C(Cl)Cl)[N+](=O)[O-])n1nnc2ccccc21,0
COc1cc(C(=O)NCC(c2cccnc2)N2CCN(c3ccccc3)CC2)cc(OC)c1OC,0
COCCCNC(=S)N(Cc1ccccc1)Cc1nc(=O)c2ccccc2[nH]1,0
Cc1ccc(OCCSc2nc3ccc(NC(=O)c4ccco4)cc3s2)cc1,0
O=C(NCCc1ccccc1)c1noc2c1CCCCC2,0
O=C(OCC1OC(n2cnc3c(N(C(=O)c4ccccc4)C(=O)c4ccccc4)ncnc32)C(O)C1F)c1ccccc1,0
Cn1c(SCc2ccc(F)cc2)nc2ccc(C(=O)NCc3cccc(Cl)c3)cc21,0
O=C(CSc1nncs1)Nc1ccc(Cl)cn1,0
COC(=O)c1ccccc1NC(=O)c1nc2nc(C)cc(C)n2n1,0
COc1ccc(NC(=O)CC2C(=O)N(c3ccc(C)cc3)C(=O)N2CCc2ccccc2)cc1,0
CCCCSc1nc(C)c(C(C)=O)cc1C#N,0
O=[N+]([O-])c1cc(C(F)(F)F)ccc1NCCCCNS(=O)(=O)c1ccc2ccccc2c1,0
CCOc1cc(/C=N/NC(=O)CNc2cccc(C)c2)ccc1OC(=O)c1ccccc1,0
COc1cc(OC)c(NC(=O)Nc2cccc(OCc3cc(=O)n4ccccc4n3)c2)cc1Cl,0
COc1ccccc1NC(=O)Cn1c(=O)n(Cc2ccccc2)c(=O)c2c3c(sc21)CN(C(C)=O)CC3,0
CCCCN(C)C(=O)c1ccc2c(c1)N(Cc1cccc(F)c1)C(=O)c1ccccc1S2,0
CC(C)(C)c1ccc(C(=O)Nc2ccc(-c3nc4cc(Cl)ccc4o3)cc2)cc1,0
Cn1c(=NC(=O)c2ccccc2[N+](=O)[O-])sc2cc(S(C)(=O)=O)ccc21,0
Cc1ccc(SCCNC(=O)c2ccc(C)c(S(=O)(=O)Nc3cccc(C)c3)c2)cc1,0
CCn1c(SC)nnc1C(Cc1ccccc1)NS(=O)(=O)c1ccc(F)cc1,0
Cc1ccc2cc(C(c3nnnn3C3CCCC3)N3CCN(c4ccccc4)CC3)c(=O)[nH]c2c1,0
