,Model name,Iteration,chi-squared,p-value
0,LGBM,0,5,0.7744140625000003
1,LGBM,1,6,0.9999999999999999
2,LGBM,2,3,0.9999999999999998
3,LGBM,3,5,1.0
4,LGBM,4,4,1.0
5,LGBM,5,5,0.7744140625000003
6,LGBM,6,4,1.0
7,LGBM,7,5,0.9999999999999997
8,LGBM,8,5,0.7744140625000003
9,LGBM,9,5,0.9999999999999997
