,Model name,Iteration,chi-squared,p-value
0,LGBM,0,39,0.10017333048675536
1,LGBM,1,19,0.9999999999999992
2,LGBM,2,16,0.7358788008568806
3,LGBM,3,31,0.0711634086952912
4,LGBM,4,22,0.8829959121223956
5,LGBM,5,18,0.7492586247608415
6,LGBM,6,31,0.02138318993714458
7,LGBM,7,37,0.04945006525317995
8,LGBM,8,41,0.25644234893296897
9,LGBM,9,45,0.002226488347320246
