,Model name,Iteration,chi-squared,p-value
0,LGBM,0,36,3.866344408238963e-05
1,LGBM,1,40,0.29446978456853307
2,LGBM,2,21,0.21160856876151615
3,LGBM,3,53,0.17420540549297167
4,LGBM,4,40,0.7436441861052033
5,LGBM,5,24,0.0033722333341480734
6,LGBM,6,47,0.011275812317410573
7,LGBM,7,40,1.9141845929673923e-05
8,LGBM,8,32,2.7607869966245197e-05
9,LGBM,9,34,0.08205429958748717
