,Model name,Iteration,chi-squared,p-value
0,LGBM,0,15,2.684428613420482e-18
1,LGBM,1,43,1.0
2,LGBM,2,61,0.5394195522817189
3,LGBM,3,39,2.9270542670539735e-06
4,LGBM,4,45,0.012602628706921441
5,LGBM,5,49,0.01967739449286591
6,LGBM,6,62,0.43699054908597207
7,LGBM,7,63,0.7268761029664574
8,LGBM,8,38,0.2836071084054856
9,LGBM,9,51,0.04003575935628383
