,Model name,Iteration,chi-squared,p-value
0,LGBM,0,34,0.5613807442989823
1,LGBM,1,25,0.5044037600228253
2,LGBM,2,22,0.009210489694554581
3,LGBM,3,25,0.16188140552559774
4,LGBM,4,17,0.0001521065758480755
5,LGBM,5,17,0.0240929076984493
6,LGBM,6,24,0.28924374710902057
7,LGBM,7,34,0.033416721602097604
8,LGBM,8,32,0.09291188222054628
9,LGBM,9,38,0.5104099416812347
