,Model name,Iteration,chi-squared,p-value
0,LGBM,0,8,0.38331031799316395
1,LGBM,1,12,0.08953107893466948
2,LGBM,2,4,0.11846923828124997
3,LGBM,3,10,0.831811904907225
4,LGBM,4,15,1.0
5,LGBM,5,4,0.548828125
6,LGBM,6,3,0.05737304687500002
7,LGBM,7,8,0.8145294189453123
8,LGBM,8,6,0.03468966484069824
9,LGBM,9,8,0.05223898589611053
